Roi,Area,Color,Red Pixel Count,Green Pixel Count,circularity
1,2448,Red,2448,0,0.0
2,1530,Red,1530,0,0.0
3,2593,Red,2593,0,0.0
4,4731,Red,4731,0,0.0
5_1,342,Red,342,0,0.0
5_2,342,Red,342,0,0.0
5_3,342,Red,342,0,0.0
5_4,342,Red,342,0,0.0
5_5,342,Red,342,0,0.0
5_6,342,Red,342,0,0.0
5_7,342,Red,342,0,0.0
5_8,342,Red,342,0,0.0
5_9,342,Red,342,0,0.0
5_10,342,Red,342,0,0.0
5_11,342,Red,342,0,0.0
5_12,342,Red,342,0,0.0
5_13,342,Red,342,0,0.0
5_14,342,Red,342,0,0.0
5_15,342,Red,342,0,0.0
6,580,Red,580,0,0.0
7_1,827,Red,827,0,0.0
7_2,827,Red,827,0,0.0
8,1116,Red,1116,0,0.0
9,835,Red,835,0,0.0
10,381,Red,381,0,0.0
11,2455,Red,2455,0,0.0
12,1388,Red,1388,0,0.0
13,2072,Red,2072,0,0.0
14,5313,Red,5313,0,0.0
15,1597,Red,1597,0,0.0
16,3565,Red,3565,0,0.0
17,8640,Red,8640,0,0.0
18_1,793,Red,793,0,0.0
18_2,793,Red,793,0,0.0
18_3,793,Red,793,0,0.0
18_4,793,Red,793,0,0.0
18_5,793,Red,793,0,0.0
18_6,793,Red,793,0,0.0
18_7,793,Red,793,0,0.0
19,2495,Red,2495,0,0.0
20,2940,Red,2940,0,0.0
21,18549,Red,18549,0,0.0
22,22939,Red,22939,0,0.0
23,2679,Red,2679,0,0.0
24,1597,Mixed,0,1597,null
